example,math500_score,pass_rate,response_length,answer_diversity,reasoning_head_fai,reasoning_head_norm,non_reasoning_head_fai,fai_concentration,mlp_norm_mean,mlp_L27_norm,residual_growth,late_layer_fai,early_layer_fai,late_vs_early_fai,gate_activity,rh0_L0H10_fai,rh1_L0H6_fai,rh2_L8H3_fai,rh3_L19H6_fai,rh4_L15H7_fai,rh5_L10H5_fai,rh6_L0H7_fai,rh7_L15H9_fai,rh8_L11H8_fai,rh9_L13H4_fai,historical_variance,ground_truth,mean_entropy_mean,mean_entropy_std,median_entropy_mean,median_entropy_std,std_entropy_mean,std_entropy_std,max_entropy_mean,max_entropy_std,num_spikes_mean,num_spikes_std,mean_spike_magnitude_mean,mean_spike_magnitude_std,mean_spike_position_mean,mean_spike_position_std,high_entropy_ratio_mean,high_entropy_ratio_std,early_mean_mean,early_mean_std,late_mean_mean,late_mean_std,entropy_trend_mean,entropy_trend_std,num_tokens_mean,num_tokens_std,cross_rollout_entropy_var,pass_rate_entropy,num_unique_answers,answer_entropy,mean_common_prefix_len,mean_pairwise_bleu,num_entropy_clusters,positional_entropy_variance,num_unique_structures,mean_num_steps,std_num_steps
pi_1,74.0,0.0,679.5625,14,0.0023110745982982085,5.624709147214889,0.003131346270928159,0.022138222071747777,49.450159813676564,323.5908374786377,689.732440456748,0.002598039355518722,0.0033839579270014447,0.7677516717298161,0.14378908004138274,0.0016990149160847068,0.0005971814280201215,0.0016245353835984133,0.0007926469425001414,2.5777686721295545e-08,0.0004644520759029547,0.004021311164251529,0.0053398179152281955,0.0004344958288129419,0.008137264550896361,,12.8,0.166789866721956,0.0382741578191325,0.0023404570630987,0.0024788157526591,0.3701091697439551,0.0700315270165299,3.220048907212913,0.7752802189454499,141.46484375,94.4812250610569,0.5335140079259872,0.0740909544766361,0.4751242448685999,0.0327280497893129,0.0001723296020591,0.0009599339046897,0.2521587598603219,0.0645729454007851,0.170950596791954,0.0738163134473551,-0.0812081630683678,0.0803594054861136,629.94140625,415.7135249760614,0.0014649111567638,0.0390625,38,2.2925195915180256,0.0059484364332745,0.4809380072888799,2,0.097830411855199,209,11.7265625,9.353487688215225
pi_11,64.0,0.25,860.5625,12,0.0021214419230081603,5.7580077454447745,0.0028265119344301677,0.02250491139071547,50.344253942370415,306.0448169708252,622.9208296313882,0.002325140727833741,0.003117244772932097,0.7458961028737892,0.1477787894127037,0.0011934490265730346,0.000496957578434376,0.0012837866015615873,0.0006435179948311998,5.477987952140495e-08,0.0004237692528477055,0.0037794458330608904,0.0048811088054208085,0.00042246540033374913,0.008089863957138732,,42,0.2358047845773399,0.0530191080279887,0.0042473622928866,0.0065724068194986,0.4634347609244287,0.048902456429888,3.6306634452193975,1.4522044814994597,312.8125,250.3104712776715,0.5932747963815928,0.071066112800871,0.4251557921717543,0.0498535796352484,0.0006049625080706,0.0009208578030682,0.313325509254355,0.0684941943762847,0.1377568922816863,0.0798894468229143,-0.1755686169726686,0.1086251790613792,1423.30859375,1081.583912712577,0.0028110258160835,0.1796875,99,3.6211545435801566,0.0040514061955202,0.1990156790900124,2,0.1586483013897335,233,19.9921875,18.06109254626762
pi_1201,71.4,0.0,502.9375,10,0.0028222349898927466,5.483448113501072,0.004000020467428059,0.02118430797327714,51.353733360767365,317.06652450561523,694.0129317641258,0.0033906905301061365,0.004301389319271905,0.788277990767894,0.1514165094146977,0.0018886848265537992,0.0006822001560067292,0.0019811350721283816,0.0010373412223998457,2.8435082055633387e-07,0.0006414491017494584,0.00486761424690485,0.006209554587258026,0.0004907015827484429,0.010423384752357379,,206,0.1606739649432711,0.031583934994187,0.001022964638313,0.0012239683098147,0.3620446359273046,0.0589115008137079,3.104007505811751,0.8857655317783452,160.9609375,115.85597890968378,0.5431334002641961,0.0585793550310505,0.4611899678116978,0.0417894499106539,0.0001349389708646,0.0008315173340324,0.2288942288141697,0.0394329160881609,0.1876095052220989,0.0766079509666522,-0.0412847235920708,0.0831096040561512,708.27734375,512.5717911172974,0.000997544949717,0.0,47,1.8698135321594709,0.0061103226602554,0.3928305946109695,2,0.0903114554647781,201,12.46484375,12.473046501881004
pi_1207,54.0,0.0,790.3125,9,0.0019578821844878705,5.695234580338001,0.002839164034360921,0.0207151230513837,48.98024300272976,320.3120574951172,672.6096525490284,0.0024214730680682806,0.0030242954775384794,0.8006734414850082,0.14450362350225987,0.0011676024514599703,0.0004544228786471649,0.0014214125549187884,0.0006477217757492326,9.158393267372222e-08,0.0004212259882478975,0.003434106198255904,0.00451473897555843,0.0004119747281947639,0.00710552470991388,,\frac{4}{5},0.230281249678228,0.0391930154909426,0.0058352211663077,0.0059267808969085,0.4197495165280998,0.0444648497172341,2.5148840080946684,0.3707403181719171,131.23828125,36.53233076051812,0.5061032868688926,0.0493475725064004,0.4293023912818657,0.028257399816424,1.664954951278459e-05,0.000187785353018,0.2819071269477717,0.0464313574157134,0.1604063331178622,0.0517776191173551,-0.1215007938299095,0.0675242117092745,633.296875,144.03286622411696,0.0015360924632732,0.0,35,2.2978476229155578,0.0038501891258017,0.3565531237801663,2,0.1197596029686752,234,10.19921875,3.0148330201933966
pi_1208,45.0,0.0,1002.3125,16,0.0016416221832262577,5.936058804392815,0.002244808400897131,0.02194025731119515,49.22471904541765,292.444580078125,613.5897464305162,0.0018447940341085693,0.002446993516649681,0.7539022974749776,0.14159040725774372,0.0010995384773195838,0.00035914072486775694,0.0010676415513444226,0.0004994072332920041,4.0570487667556266e-08,0.00029793227531627053,0.0027937765407841653,0.0038922334351809695,0.0003668483877845574,0.006039662635885179,,\dfrac{961}{1280},0.2087845730711706,0.0401497758722564,0.0040154878781777,0.0038777484591496,0.411378069082275,0.0473492597383489,3.034166763536632,0.7847407704834246,295.2109375,109.55104777167168,0.5487532611005008,0.0510692634474008,0.4398202497094658,0.0416260901716862,2.7803616626313027e-05,0.0002165735167123,0.2572025824338197,0.0464462283415187,0.1523123503334318,0.0572037846889173,-0.1048902321003879,0.0697481058513042,1358.16796875,473.6009898297817,0.0016120045025924,0.0,110,4.222397411994406,0.0010068250012295,0.2772559885358638,2,0.1281588736178558,256,21.10546875,9.4707923423953
pi_1209,72.2,0.0,691.375,6,0.0023065601819978855,5.787308762967586,0.003132408636950464,0.022088604774139046,49.1323792891843,270.8758964538574,615.5931940451264,0.002612055385744346,0.0033962467274125715,0.7691005970388786,0.14462561657143982,0.001554784827021649,0.0005533782068596338,0.00150324274727609,0.0007208714087028056,1.159221192370552e-07,0.0004494742079259595,0.004337001926614903,0.0051511710189515725,0.000538638001671643,0.00825692355283536,,-\frac{2023}{2024},0.1791242581093683,0.030574122208686,0.0008459838070962,0.0005803408869114,0.3862626947229728,0.0542853173203563,2.5865872548893094,1.349805623816677,130.24609375,88.07816787726803,0.5697485683485866,0.0523370214547702,0.4778712259709053,0.0404720937869384,0.0001994019317066,0.0007645189771085,0.2293779501342214,0.0526532114390816,0.1975749397970503,0.10088247403325,-0.0318030103371711,0.1018620503165707,567.3515625,379.3386636190788,0.0009347769488316,0.0,12,0.5643370273883117,0.0140611450598561,0.4017334668983532,3,0.1050659082252177,200,10.2734375,7.246998132578327
pi_13,74.4,0.0,1024.0,16,0.0016544271192742155,5.87544754743576,0.0022895498813859877,0.021684961726809875,49.75577315049512,290.02776527404785,641.3551381751895,0.0019486568435619727,0.002441984197259574,0.7979809393315405,0.1443563188832481,0.0011779785345424898,0.00035625152759166667,0.0012295973392610904,0.0004980419926141622,3.4102867640939394e-08,0.00031058472632139456,0.002885693669668399,0.0037901596224401146,0.0003394202358322218,0.005956509441602975,,\frac{4}{3},0.1340679963541333,0.028808966372236,0.0004599014750681,0.0004000423692425,0.330266316246707,0.0442500622263535,3.1502283103764057,1.0686090910092507,368.74609375,120.29622448508604,0.5083573835436255,0.0660293562499924,0.4706815400807586,0.0483996358706954,5.562258809083708e-05,0.0003076571213719,0.1575993915903382,0.0329693560419178,0.1212746454220905,0.0590841423094845,-0.0363247461682476,0.0683181443484254,1604.5234375,559.9572244383347,0.0008299565434366,0.2421875,105,3.625196594389864,0.0017177578534404,0.2816045871796404,2,0.0798707633639561,255,22.26171875,10.62343092159489
pi_16,67.0,0.0,933.0625,15,0.0017007532834608554,5.701524625718593,0.002409184101706288,0.021195787613822927,51.03493586182594,332.63280868530273,658.9809557795525,0.0020325753748788125,0.0025885841994403606,0.7852073636693933,0.1485054145806706,0.0011228715266042855,0.0005014358994230861,0.001179654835141264,0.0005860432829649653,8.991304113747933e-08,0.0003504297128529288,0.0028753083461197093,0.0038126373692648485,0.0003478720109342248,0.006231189938262105,,576,0.1988257041157339,0.0438062577079216,0.0018953078927665,0.00196987807822,0.416165777365677,0.0569429813583532,3.657002665102482,0.9142294246881744,239.9609375,202.07853139094487,0.5711287234444171,0.0693436819320532,0.4726949531411354,0.0390702921840821,0.0002659520454169,0.0006476715774362,0.2133333026722539,0.040341373716026,0.1385033150763774,0.0555170891968047,-0.0748299875958764,0.064608561784057,1079.3984375,903.0249930774664,0.0019189882143728,0.08203125,72,3.666856018616441,0.0068820527010851,0.2679632836487033,2,0.1220817111445773,225,17.6015625,18.267046766201528
pi_17,67.2,0.0625,995.3125,14,0.0016802786040470668,5.782324928045273,0.0023149942527627347,0.021779629247094996,47.68323845096997,286.7466125488281,596.4797610193491,0.001909693082798943,0.0024966194346098917,0.7649115665469219,0.1413989663313779,0.000988174659141805,0.0006019821526024316,0.0013999812508700415,0.0005344738747226074,1.1939849151043624e-07,0.0003398685366846621,0.0028762677975464612,0.0038242669688770548,0.00039228748028108384,0.005845363921253011,,22,0.2055217456072569,0.0777193843747195,0.0061738738618259,0.0074957415582243,0.4083866924629546,0.0816280959658868,2.99149701744318,0.8772385685031964,315.83984375,191.9085316139582,0.518922938266769,0.082432278684743,0.4253027527977956,0.1071469233217505,6.359932536145704e-05,0.000425471329726,0.2541833477444015,0.0610979255799953,0.1581419172475762,0.1146322649399852,-0.0960414304968253,0.1380480669562235,1543.8828125,928.2847599966778,0.0060403027075854,0.1796875,28,2.4495162868543248,0.0071349989834496,0.2031896526633362,4,0.1369799718922233,253,22.69140625,18.318218080573804
pi_2,70.6,0.125,852.0,15,0.0018370663522924656,5.894885575771331,0.0026398679194657225,0.02090027369928805,53.02181744149753,345.0930233001709,652.186155334115,0.0022156038673225944,0.0028470845276377162,0.7782009440938257,0.15193408845120107,0.0012329699857218657,0.00040403834645985626,0.0013449529142235406,0.0006484701098088408,5.0218128377910176e-08,0.00037536460695264395,0.003085959397139959,0.0041538866207702085,0.0003836365522147389,0.006741334771504626,,24,0.1342279369127936,0.0351074683670318,0.0006181162750635,0.0008933921488169,0.3467759230989031,0.0719009396198995,4.008956594392657,1.05683790083274,203.578125,105.12597423560162,0.5078779502073303,0.087375011871442,0.4379465337411067,0.0437184020493924,0.0002503181231575,0.0009997180193273,0.2279614797444082,0.0831626870322219,0.0931421239351948,0.0392772535684361,-0.1348193558092134,0.0941106144889002,878.73828125,461.4542377468712,0.0012325343351421,0.08203125,16,0.8006825421172094,0.0026989192625753,0.414139448935227,2,0.0749530363134399,248,14.70703125,6.971209583818538
pi_4,65.6,0.125,553.25,11,0.002831824630976253,5.5755530834198,0.003950038308848219,0.021517921699515306,50.5625396668911,321.7135753631592,637.1909920796752,0.0032892328056751317,0.0042809933932869085,0.7683340065025627,0.15010716910806618,0.002140277465514373,0.0005224553879088489,0.0017060812533600256,0.001100290352042066,5.537350144385611e-08,0.0006772383167117368,0.004881899789324962,0.00626873089640867,0.0005631895019178046,0.010458027973072603,,25,0.205062827502843,0.0647359755863975,0.0044838556406716,0.0042814013050299,0.4053988952655345,0.0729346772812914,2.926124081946909,0.1999968778217702,134.75390625,139.19480358158566,0.5076642738422379,0.0869952929863297,0.3758533333836183,0.0677174908134054,7.62939453125e-06,0.0001218316606343,0.361994929582579,0.0936013327649877,0.1204090447367889,0.0647766545153143,-0.2415858848457901,0.0856466926456994,736.5546875,903.246382920672,0.0041907465351226,0.19140625,14,1.2578699004799792,0.0102653680688223,0.4008292241745657,2,0.1029533099053623,188,11.703125,10.723338576878705
